id,date,weight,primary,comments
15635,1/19/2014,160,TRUE,first
15661,1/21/2014,161.4,TRUE,
15689,1/23/2014,160.6,TRUE,
15705,1/24/2014,160.6,TRUE,
15726,1/25/2014,159.7,TRUE,
15743,1/26/2014,159.6,TRUE,
15750,1/27/2014,160,TRUE,
15774,1/28/2014,160.8,TRUE,
15801,1/29/2014,162.6,TRUE,
15816,1/31/2014,160,TRUE,
15826,2/1/2014,160,TRUE,
15833,2/2/2014,161.4,TRUE,
15853,2/3/2014,160.8,TRUE,
15873,2/4/2014,163,TRUE,
15892,2/5/2014,161.6,TRUE,
15913,2/7/2014,161.6,TRUE,
15943,2/8/2014,158.8,TRUE,
15959,2/9/2014,158.6,TRUE,
15974,2/10/2014,160.6,TRUE,
15985,2/11/2014,160.4,TRUE,
16016,2/12/2014,161.4,TRUE,
16036,2/13/2014,160.6,TRUE,
16057,2/14/2014,161.6,TRUE,
16065,2/15/2014,158.6,TRUE,
16078,2/16/2014,159.8,TRUE,
16102,2/17/2014,158.4,TRUE,
16106,2/18/2014,159.4,TRUE,
16132,2/19/2014,160.4,TRUE,
16138,2/20/2014,161.6,TRUE,
16168,2/21/2014,158,TRUE,
16169,2/22/2014,159.4,TRUE,
16196,2/24/2014,157.4,TRUE,
16222,2/25/2014,160,TRUE,
16230,2/26/2014,160.8,TRUE,
16242,2/27/2014,160,TRUE,
16264,3/1/2014,160.4,TRUE,
16275,3/3/2014,160.8,TRUE,
16278,3/4/2014,160.8,TRUE,
16290,3/5/2014,159.4,TRUE,
16296,3/6/2014,159.8,TRUE,
16315,3/7/2014,159.8,TRUE,
16335,3/8/2014,161.4,TRUE,
16353,3/9/2014,161.4,TRUE,
16375,3/10/2014,159.6,TRUE,
16386,3/11/2014,159.6,TRUE,
16405,3/12/2014,157.6,TRUE,
16419,3/13/2014,159.4,TRUE,
16436,3/14/2014,158.6,TRUE,
16454,3/15/2014,159.6,TRUE,
16472,3/16/2014,159.2,TRUE,
16493,3/17/2014,158.2,TRUE,
16515,3/18/2014,160,TRUE,
16534,3/19/2014,158.8,TRUE,
16558,3/20/2014,159.8,TRUE,
16560,3/21/2014,158.2,TRUE,
16567,3/22/2014,157.2,TRUE,
16571,3/23/2014,157.6,TRUE,
16595,3/24/2014,157,TRUE,
16610,3/25/2014,157,TRUE,
16631,3/26/2014,156.6,TRUE,
16649,3/27/2014,156.2,TRUE,
16675,3/28/2014,157.2,TRUE,
16705,3/29/2014,157.4,TRUE,
16726,3/30/2014,157.6,TRUE,
16745,3/31/2014,158.2,TRUE,
16747,4/1/2014,157,TRUE,
16748,4/2/2014,157.4,TRUE,
16750,4/3/2014,157.4,TRUE,
16767,4/4/2014,157.6,TRUE,
16783,4/5/2014,157.2,TRUE,
16789,4/6/2014,157.4,TRUE,
16805,4/7/2014,158.6,TRUE,
16807,4/8/2014,157.4,TRUE,
16809,4/9/2014,157.4,TRUE,
16812,4/10/2014,157,TRUE,
16825,4/11/2014,159,TRUE,
16832,4/12/2014,157.6,TRUE,
16846,4/13/2014,156.8,TRUE,
16857,4/14/2014,157.8,TRUE,
16881,4/15/2014,157.4,TRUE,
16895,4/16/2014,159.4,TRUE,
16916,4/17/2014,159.4,TRUE,
16941,4/19/2014,157.8,TRUE,
16946,4/20/2014,157.8,TRUE,
16977,4/21/2014,156.4,TRUE,
17003,4/22/2014,158.6,TRUE,
17013,4/23/2014,158.2,TRUE,
17032,4/24/2014,158.2,TRUE,
17060,4/25/2014,159.2,TRUE,
17071,4/26/2014,159.2,TRUE,
17102,4/27/2014,158.8,TRUE,
17114,4/28/2014,158.4,TRUE,
17139,4/29/2014,158.6,TRUE,
17165,4/30/2014,158.6,TRUE,
17177,5/1/2014,157.4,TRUE,
17195,5/2/2014,157,TRUE,
17211,5/3/2014,156.6,TRUE,
17227,5/4/2014,158.6,TRUE,
17235,5/5/2014,157.4,TRUE,
17245,5/6/2014,157.2,TRUE,
17268,5/7/2014,158.2,TRUE,
17272,5/8/2014,158.6,TRUE,
17283,5/9/2014,159.6,TRUE,
17314,5/10/2014,160.8,TRUE,
17339,5/11/2014,160.2,TRUE,
17358,5/12/2014,159.2,TRUE,
17360,5/13/2014,159.2,TRUE,
17384,5/14/2014,158.8,TRUE,
17408,5/15/2014,159.2,TRUE,
17423,5/16/2014,161.2,TRUE,
17425,5/17/2014,160.4,TRUE,
17446,5/18/2014,160,TRUE,
17470,5/19/2014,161,TRUE,
17479,5/20/2014,161,TRUE,
17497,5/21/2014,158.6,TRUE,
17508,5/22/2014,159.4,TRUE,
17512,5/23/2014,158.2,TRUE,
17528,5/24/2014,157.4,TRUE,
17541,5/25/2014,159.4,TRUE,
17551,5/26/2014,157.4,TRUE,
17566,5/27/2014,160.2,TRUE,
17572,5/28/2014,159.2,TRUE,
17594,5/29/2014,160,TRUE,
17623,5/30/2014,159.6,TRUE,
17635,5/31/2014,159.6,TRUE,
17643,6/1/2014,159,TRUE,
17657,6/2/2014,159.6,TRUE,
17683,6/3/2014,161,TRUE,
17712,6/4/2014,161,TRUE,
17724,6/5/2014,161,TRUE,
17739,6/6/2014,160.2,TRUE,
17755,6/7/2014,159.8,TRUE,
17778,6/8/2014,158.6,TRUE,
17792,6/9/2014,158.8,TRUE,
17798,6/10/2014,159,TRUE,
17820,6/11/2014,158,TRUE,
17826,6/12/2014,158.4,TRUE,
17833,6/13/2014,160,TRUE,
17835,6/14/2014,158,TRUE,
17862,6/15/2014,158.8,TRUE,
17865,6/16/2014,159.8,TRUE,
17869,6/18/2014,156.6,TRUE,
17871,6/19/2014,157,TRUE,
17879,6/20/2014,158.2,TRUE,
17880,6/21/2014,155.8,TRUE,
17911,6/22/2014,157,TRUE,
17939,6/23/2014,155.4,TRUE,
17940,6/24/2014,158,TRUE,
17954,6/25/2014,156.8,TRUE,
17956,6/26/2014,158.2,TRUE,
17966,6/27/2014,157.4,TRUE,
17991,6/28/2014,157.2,TRUE,
18022,6/29/2014,157.4,TRUE,
18035,6/30/2014,157.2,TRUE,
18059,7/1/2014,158.6,TRUE,
18076,7/2/2014,157.8,TRUE,
18078,7/3/2014,157.8,TRUE,
18084,7/4/2014,155.8,TRUE,
18115,7/5/2014,156.6,TRUE,
18137,7/6/2014,156.4,TRUE,
18146,7/7/2014,157,TRUE,
18176,7/8/2014,157.6,TRUE,
18193,7/9/2014,156.6,TRUE,
18216,7/10/2014,158.6,TRUE,
18240,7/11/2014,157.4,TRUE,
18243,7/12/2014,156.2,TRUE,
18269,7/13/2014,159.8,TRUE,
18293,7/14/2014,157.2,TRUE,
18298,7/15/2014,158.8,TRUE,
18326,7/16/2014,158.2,TRUE,
18330,7/17/2014,157.4,TRUE,
18361,7/18/2014,157.6,TRUE,
18388,7/20/2014,160.6,TRUE,
18418,7/21/2014,159.4,TRUE,
18422,7/22/2014,159.4,TRUE,
18430,7/23/2014,158.6,TRUE,
18434,7/24/2014,158,TRUE,
18458,7/25/2014,156.6,TRUE,
18470,7/26/2014,158.6,TRUE,
18477,7/27/2014,160.6,TRUE,
18489,7/28/2014,157.4,TRUE,
18517,7/29/2014,157.6,TRUE,
18535,7/30/2014,156.2,TRUE,
18542,7/31/2014,155.2,TRUE,
18553,8/1/2014,155.9,TRUE,
18574,8/2/2014,158.2,TRUE,
18592,8/3/2014,157.6,TRUE,
18609,8/4/2014,155.6,TRUE,
18626,8/5/2014,158.8,TRUE,
18651,8/6/2014,157.2,TRUE,
18669,8/7/2014,158.8,TRUE,
18689,8/8/2014,157.4,TRUE,
18706,8/9/2014,158,TRUE,
18721,8/10/2014,158.2,TRUE,
18749,8/11/2014,156,TRUE,
18771,8/12/2014,158.4,TRUE,
18773,8/13/2014,158.4,TRUE,
18796,8/14/2014,158.8,TRUE,
18813,8/15/2014,158.2,TRUE,
18818,8/16/2014,158.4,TRUE,
18838,8/17/2014,157.4,TRUE,
18852,8/18/2014,159.4,TRUE,
18868,8/19/2014,158.2,TRUE,
18879,8/20/2014,155.8,TRUE,
18902,8/21/2014,159.4,TRUE,
18929,8/22/2014,158.6,TRUE,
18937,8/23/2014,155.2,TRUE,
18956,8/24/2014,157.2,TRUE,
18971,8/25/2014,158.2,TRUE,
18993,8/26/2014,158.6,TRUE,
19018,8/27/2014,157.4,TRUE,
19040,8/28/2014,159,TRUE,
19052,8/29/2014,156.6,TRUE,
19075,8/30/2014,158,TRUE,
19087,8/31/2014,156.6,TRUE,
19109,9/1/2014,155.4,TRUE,
19123,9/2/2014,157,TRUE,
19135,9/3/2014,156.4,TRUE,
19154,9/4/2014,157,TRUE,
19175,9/5/2014,156,TRUE,
19182,9/6/2014,157.2,TRUE,
19204,9/7/2014,157.4,TRUE,
19223,9/8/2014,158,TRUE,
19237,9/9/2014,154,TRUE,
19257,9/10/2014,156,TRUE,
19277,9/11/2014,155.2,TRUE,
19280,9/12/2014,157,TRUE,
19290,9/13/2014,155.8,TRUE,
19304,9/14/2014,157,TRUE,
19312,9/15/2014,157.2,TRUE,
19316,9/16/2014,155.2,TRUE,
19344,9/17/2014,156.6,TRUE,
19358,9/18/2014,155.2,TRUE,
19388,9/19/2014,157.4,TRUE,
19408,9/20/2014,157.2,TRUE,
19416,9/21/2014,156.4,TRUE,
19425,9/22/2014,155.2,TRUE,
19429,9/23/2014,154.2,TRUE,
19441,9/24/2014,157,TRUE,
19463,9/25/2014,154.4,TRUE,
19489,9/26/2014,156,TRUE,
19496,9/27/2014,157,TRUE,
19518,9/28/2014,158.2,TRUE,
19521,9/29/2014,157.2,TRUE,
19529,9/29/2014,158.4,TRUE,
19549,9/30/2014,159.2,TRUE,
19574,10/1/2014,158.4,TRUE,
19581,10/3/2014,155.4,TRUE,
19587,10/4/2014,155.4,TRUE,
19588,10/5/2014,157,TRUE,
19615,10/6/2014,156,TRUE,
19635,10/7/2014,158,TRUE,
19666,10/8/2014,158,TRUE,
19670,10/9/2014,157.8,TRUE,
19689,10/10/2014,157.4,TRUE,
19703,10/11/2014,154.8,TRUE,
19725,10/12/2014,155.8,TRUE,
19744,10/13/2014,156.6,TRUE,
19771,10/14/2014,155.8,TRUE,
19796,10/15/2014,156.8,TRUE,
19814,10/16/2014,154,TRUE,
19833,10/17/2014,156.4,TRUE,
19859,10/18/2014,155.8,TRUE,
19863,10/19/2014,156,TRUE,
19876,10/20/2014,156.6,TRUE,
19877,10/21/2014,157,TRUE,
19889,10/22/2014,157.6,TRUE,
19909,10/23/2014,157.6,TRUE,
19933,10/24/2014,158.4,TRUE,
19950,10/25/2014,158.4,TRUE,
19973,10/26/2014,156,TRUE,
20001,10/27/2014,156,TRUE,
20025,10/28/2014,155.8,TRUE,
20039,10/29/2014,156.6,TRUE,
20054,10/30/2014,155.8,TRUE,
20068,10/31/2014,157.4,TRUE,
20081,11/1/2014,155.2,TRUE,
20104,11/2/2014,157.4,TRUE,
20124,11/3/2014,155.4,TRUE,
20145,11/4/2014,157.4,TRUE,
20149,11/5/2014,157.4,TRUE,
20154,11/6/2014,157,TRUE,
20155,11/7/2014,158,TRUE,
20180,11/8/2014,157.2,TRUE,
20193,11/9/2014,156.6,TRUE,
20220,11/10/2014,155.8,TRUE,
20246,11/11/2014,157,TRUE,
20259,11/12/2014,157.2,TRUE,
20266,11/13/2014,156.2,TRUE,
20268,11/14/2014,158.4,TRUE,
20269,11/15/2014,157.2,TRUE,
20292,11/16/2014,157.2,TRUE,
20304,11/17/2014,158.4,TRUE,
20326,11/19/2014,158,TRUE,
20335,11/20/2014,156,TRUE,
20349,11/21/2014,156.2,TRUE,
20365,11/22/2014,155.2,TRUE,
20394,11/23/2014,157.4,TRUE,
20399,11/24/2014,155.4,TRUE,
20406,11/25/2014,156.2,TRUE,
20423,11/26/2014,157.2,TRUE,
20432,11/27/2014,156.2,TRUE,
20448,11/28/2014,156.2,TRUE,
20450,11/29/2014,157.6,TRUE,
20481,11/30/2014,156.4,TRUE,
20505,12/1/2014,158,TRUE,
20512,12/2/2014,158,TRUE,
20543,12/3/2014,158.4,TRUE,
20545,12/4/2014,158.6,TRUE,
20569,12/5/2014,157.4,TRUE,
20584,12/6/2014,157.2,TRUE,
20614,12/7/2014,157.2,TRUE,
20635,12/9/2014,156.2,TRUE,
20642,12/10/2014,158.6,TRUE,
20646,12/11/2014,158.6,TRUE,
20664,12/12/2014,157.6,TRUE,
20692,12/13/2014,155.4,TRUE,
20722,12/14/2014,156,TRUE,
20747,12/15/2014,154.4,TRUE,
20770,12/16/2014,156.2,TRUE,
20788,12/18/2014,155.2,TRUE,
20790,12/19/2014,157.6,TRUE,
20810,12/20/2014,154.2,TRUE,
20833,12/21/2014,154.8,TRUE,
20840,12/22/2014,154.4,TRUE,
20869,12/23/2014,157,TRUE,
20900,12/24/2014,156.4,TRUE,
20906,12/25/2014,159.4,TRUE,
20925,12/26/2014,159,TRUE,
20950,12/28/2014,156.8,TRUE,
20952,12/29/2014,157.8,TRUE,
20978,12/30/2014,154.4,TRUE,
20993,12/31/2014,157.6,TRUE,
21016,1/1/2015,157.4,TRUE,
21022,1/2/2015,156.6,TRUE,
21026,1/3/2015,156.4,TRUE,
21031,1/4/2015,156,TRUE,
21052,1/6/2015,158.2,TRUE,
21067,1/7/2015,156.6,TRUE,
21078,1/8/2015,157.2,TRUE,
21082,1/9/2015,159.2,TRUE,
21096,1/10/2015,158.4,TRUE,
21127,1/11/2015,156,TRUE,
21138,1/12/2015,157,TRUE,
21147,1/13/2015,157.6,TRUE,
21157,1/14/2015,157.6,TRUE,
21161,1/15/2015,156.4,TRUE,
21163,1/16/2015,157.2,TRUE,
21168,1/17/2015,157.2,TRUE,
21181,1/19/2015,157,TRUE,
21200,1/20/2015,156.8,TRUE,
21209,1/21/2015,158,TRUE,
21219,1/22/2015,158.2,TRUE,
21228,1/23/2015,155.4,TRUE,
21229,1/24/2015,155.8,TRUE,
21232,1/25/2015,155.8,TRUE,
21249,1/26/2015,157.2,TRUE,
21269,1/27/2015,156.2,TRUE,
21286,1/29/2015,158.2,TRUE,
21300,1/30/2015,157.6,TRUE,
21313,1/30/2015,157.6,TRUE,
21338,1/31/2015,156.2,TRUE,
21358,2/1/2015,155.2,TRUE,
21379,2/2/2015,155.4,TRUE,
21383,2/3/2015,154.2,TRUE,
21409,2/4/2015,156.4,TRUE,
21423,2/5/2015,156.8,TRUE,
21435,2/6/2015,154.4,TRUE,
21461,2/7/2015,154,TRUE,
21481,2/8/2015,154.4,TRUE,
21508,2/9/2015,153.2,TRUE,
21530,2/10/2015,155.8,TRUE,
21544,2/11/2015,155.4,TRUE,
21567,2/12/2015,155,TRUE,
21584,2/13/2015,154.2,TRUE,
21604,2/14/2015,153.8,TRUE,
21635,2/15/2015,155.4,TRUE,
21650,2/16/2015,153.8,TRUE,
21652,2/17/2015,154.4,TRUE,
21676,2/18/2015,155.2,TRUE,
21680,2/19/2015,155.2,TRUE,
21695,2/20/2015,154.8,TRUE,
21716,2/21/2015,155.4,TRUE,
21732,2/22/2015,155,TRUE,
21754,2/23/2015,157.2,TRUE,
21780,2/25/2015,157.2,TRUE,
21788,2/26/2015,157.4,TRUE,
21798,2/28/2015,153.8,TRUE,
21829,3/1/2015,155.2,TRUE,
21853,3/2/2015,156.6,TRUE,
21864,3/3/2015,159.2,TRUE,
21885,3/4/2015,158,TRUE,
21887,3/5/2015,158,TRUE,
21897,3/6/2015,157,TRUE,
21926,3/7/2015,156.4,TRUE,
21950,3/9/2015,157.2,TRUE,
21978,3/10/2015,158,TRUE,
21994,3/11/2015,159.2,TRUE,
21999,3/12/2015,157.4,TRUE,
22015,3/13/2015,156.2,TRUE,
22044,3/14/2015,157.4,TRUE,
22061,3/16/2015,157.2,TRUE,
22070,3/17/2015,157.2,TRUE,
22086,3/18/2015,157.4,TRUE,
22091,3/19/2015,157.6,TRUE,
22094,3/20/2015,154.4,TRUE,
22113,3/21/2015,153.8,TRUE,
22142,3/22/2015,156.6,TRUE,
22157,3/23/2015,156,TRUE,
22160,3/24/2015,157,TRUE,
22161,3/25/2015,157,TRUE,
22176,3/26/2015,156.2,TRUE,
22185,3/27/2015,154.4,TRUE,
22199,3/28/2015,154.8,TRUE,
22229,3/29/2015,154.4,TRUE,
22244,3/30/2015,155,TRUE,
22258,3/31/2015,155,TRUE,
22283,4/1/2015,156,TRUE,
22290,4/2/2015,156,TRUE,
22303,4/3/2015,154.8,TRUE,
22331,4/4/2015,155.6,TRUE,
22339,4/5/2015,156.6,TRUE,
22354,4/6/2015,154.6,TRUE,
22372,4/7/2015,158,TRUE,
22395,4/8/2015,157.4,TRUE,
22402,4/10/2015,156.6,TRUE,
22432,4/11/2015,155.6,TRUE,
22437,4/12/2015,157.1,TRUE,
22446,4/13/2015,157.1,TRUE,
22474,4/14/2015,159,TRUE,
22497,4/15/2015,157.4,TRUE,
22513,4/16/2015,157.4,TRUE,
22519,4/17/2015,156.4,TRUE,
22550,4/18/2015,156.4,TRUE,
22551,4/22/2015,157.4,TRUE,
22578,4/25/2015,156.2,TRUE,
22591,4/26/2015,157.4,TRUE,
22621,4/27/2015,154.8,TRUE,
22646,4/28/2015,155.8,TRUE,
22661,5/6/2015,161,TRUE,
22676,5/7/2015,160,TRUE,
22699,5/8/2015,158.2,TRUE,
22728,5/9/2015,157.4,TRUE,
22744,5/10/2015,160.6,TRUE,
22747,5/11/2015,160,TRUE,
22751,5/12/2015,160,TRUE,
22756,5/13/2015,157.4,TRUE,
22774,5/14/2015,157.4,TRUE,
22805,5/15/2015,157.4,TRUE,
22808,5/17/2015,159.2,TRUE,
22834,5/18/2015,157.4,TRUE,
22860,5/19/2015,157.4,TRUE,
22890,5/20/2015,158,TRUE,
22914,5/21/2015,158,TRUE,
22921,5/22/2015,155.8,TRUE,
22942,5/23/2015,156.6,TRUE,
22950,5/24/2015,159.4,TRUE,
22956,5/25/2015,157.6,TRUE,
22967,5/26/2015,159.4,TRUE,
22982,5/27/2015,158.4,TRUE,
22988,5/28/2015,157.4,TRUE,
23014,5/29/2015,156.6,TRUE,
23036,5/31/2015,157.8,TRUE,
23059,6/2/2015,160.6,TRUE,
23080,6/3/2015,160,TRUE,
23097,6/4/2015,160,TRUE,
23121,6/6/2015,160.8,TRUE,
23151,6/7/2015,158.6,TRUE,
23166,6/8/2015,158.2,TRUE,
23195,6/9/2015,157.2,TRUE,
23205,6/10/2015,158.8,TRUE,
23227,6/11/2015,158.2,TRUE,
23256,6/12/2015,160.2,TRUE,
23258,6/16/2015,160.2,TRUE,
23262,6/17/2015,160.2,TRUE,
23286,6/19/2015,159,TRUE,
23304,6/22/2015,158.8,TRUE,
23332,6/23/2015,159.6,TRUE,
23350,6/24/2015,157.8,TRUE,
23368,6/25/2015,157.4,TRUE,
23370,6/26/2015,158.4,TRUE,
23377,6/28/2015,159.6,TRUE,
23383,6/29/2015,158.2,TRUE,
23397,6/30/2015,157.4,TRUE,
23410,7/1/2015,158,TRUE,
23417,7/2/2015,157.6,TRUE,
23441,7/3/2015,158,TRUE,
23454,7/4/2015,158.6,TRUE,
23474,7/5/2015,158,TRUE,
23478,7/22/2015,157,TRUE,
23480,7/23/2015,157.4,TRUE,
23491,7/24/2015,158.4,TRUE,
23514,7/25/2015,155.2,TRUE,
23527,7/26/2015,158,TRUE,
23542,7/27/2015,159.2,TRUE,
23554,7/28/2015,159.6,TRUE,
23583,7/29/2015,158.6,TRUE,
23590,7/30/2015,158.6,TRUE,
23608,7/31/2015,158.6,TRUE,
23614,8/1/2015,157.6,TRUE,
23640,8/3/2015,157.4,TRUE,
23664,8/4/2015,158.6,TRUE,
23686,8/5/2015,158.8,TRUE,
23711,8/6/2015,158,TRUE,
23742,8/7/2015,158.6,TRUE,
23767,8/8/2015,156.6,TRUE,
23779,8/9/2015,158.8,TRUE,
23789,8/10/2015,160,TRUE,
23812,8/11/2015,160.2,TRUE,
23822,8/12/2015,158.6,TRUE,
23825,8/13/2015,158.6,TRUE,
23841,8/14/2015,157.4,TRUE,
23859,8/15/2015,156.6,TRUE,
23879,8/16/2015,157,TRUE,
23888,8/17/2015,158.6,TRUE,
23893,8/18/2015,161.6,TRUE,
23902,8/19/2015,161.4,TRUE,
23915,8/24/2015,161.8,TRUE,
23921,8/25/2015,160.6,TRUE,
23946,8/31/2015,158.6,TRUE,
23972,9/1/2015,158,TRUE,
23991,9/2/2015,160.6,TRUE,
24020,9/3/2015,159.2,TRUE,
24051,9/4/2015,156.8,TRUE,
24077,9/5/2015,157.4,TRUE,
24100,9/6/2015,159.8,TRUE,
24120,9/7/2015,157.4,TRUE,
24132,9/8/2015,158,TRUE,
24163,9/9/2015,161.6,TRUE,
24188,9/10/2015,160.6,TRUE,
24195,9/11/2015,159.8,TRUE,
