"id","date","weight","comments"
"1771478123693","2014-07-01","158.6","t"
"1771478124300","2014-07-02","157.8","t"
"1771478125243","2014-07-03","157.8","t"
"1771478126465","2014-07-04","155.8","t"
"1771478127353","2014-07-05","156.6","t"
"1771478128432","2014-07-06","156.4","t"
"1771478129320","2014-07-07","157","t"
"1771478129973","2014-07-08","157.6","t"
"1771478130797","2014-07-09","156.6","t"
"1771478131123","2014-07-10","158.6","t"
"1771478131905","2014-07-11","157.4","t"
"1771478132186","2014-07-12","156.2","t"
"1771478133011","2014-07-13","159.8","t"
"1771478133885","2014-07-14","157.2","t"
"1771478134313","2014-07-15","158.8","t"
"1771478134780","2014-07-16","158.2","t"
"1771478135682","2014-07-17","157.4","t"
"1771478135748","2014-07-18","157.6","t"
"1771478135844","2014-07-20","160.6","t"
"1771478136408","2014-07-21","159.4","t"
"1771478137474","2014-07-22","159.4","t"
"1771478138694","2014-07-23","158.6","t"
"1771478138961","2014-07-24","158","t"
"1771478139528","2014-07-25","156.6","t"
"1771478140119","2014-07-26","158.6","t"
"1771478141069","2014-07-27","160.6","t"
"1771478141291","2014-07-28","157.4","t"
"1771478142326","2014-07-29","157.6","t"
"1771478143427","2014-07-30","156.2","t"
"1771478143976","2014-07-31","155.2","t"
"1771478144996","2014-08-01","155.9","t"
"1771478146222","2014-08-02","158.2","t"
"1771478147426","2014-08-03","157.6","t"
"1771478147654","2014-08-04","155.6","t"
"1771478148091","2014-08-05","158.8","t"
"1771478149189","2014-08-06","157.2","t"
"1771478149838","2014-08-07","158.8","t"
"1771478150529","2014-08-08","157.4","t"
"1771478151083","2014-08-09","158","t"
"1771478151350","2014-08-10","158.2","t"
"1771478152105","2014-08-11","156","t"
"1771478153213","2014-08-12","158.4","t"
"1771478154234","2014-08-13","158.4","t"
"1771478154949","2014-08-14","158.8","t"
"1771478154990","2014-08-15","158.2","t"
"1771478155930","2014-08-16","158.4","t"
"1771478156746","2014-08-17","157.4","t"
"1771478157525","2014-08-18","159.4","t"
"1771478158386","2014-08-19","158.2","t"
"1771478158476","2014-08-20","155.8","t"
"1771478158596","2014-08-21","159.4","t"
"1771478158668","2014-08-22","158.6","t"
"1771478159438","2014-08-23","155.2","t"
"1771478159537","2014-08-24","157.2","t"
"1771478160334","2014-08-25","158.2","t"
"1771478160601","2014-08-26","158.6","t"
"1771478160845","2014-08-27","157.4","t"
"1771478161285","2014-08-28","159","t"
"1771478161411","2014-08-29","156.6","t"
"1771478162538","2014-08-30","158","t"
"1771478162731","2014-08-31","156.6","t"
"1771478163556","2014-09-01","155.4","t"
"1771478163809","2014-09-02","157","t"
"1771478163823","2014-09-03","156.4","t"
"1771478164853","2014-09-04","157","t"
"1771478165582","2014-09-05","156","t"
"1771478166600","2014-09-06","157.2","t"
"1771478167269","2014-09-07","157.4","t"
"1771478167872","2014-09-08","158","t"
"1771478168206","2014-09-09","154","t"
"1771478169057","2014-09-10","156","t"
"1771478169221","2014-09-11","155.2","t"
"1771478169941","2014-09-12","157","t"
"1771478171012","2014-09-13","155.8","t"
"1771478171655","2014-09-14","157","t"
"1771478172008","2014-09-15","157.2","t"
"1771478172612","2014-09-16","155.2","t"
"1771478173666","2014-09-17","156.6","t"
"1771478174257","2014-09-18","155.2","t"
"1771478174320","2014-09-19","157.4","t"
"1771478175536","2014-09-20","157.2","t"
"1771478175657","2014-09-21","156.4","t"
"1771478176536","2014-09-22","155.2","t"
"1771478177097","2014-09-23","154.2","t"
"1771478177666","2014-09-24","157","t"
"1771478177694","2014-09-25","154.4","t"
"1771478178648","2014-09-26","156","t"
"1771478179500","2014-09-27","157","t"
"1771478180170","2014-09-28","158.2","t"
"1771478181169","2014-09-29","157.2","t"
